destination,check_in,check_out,hotel_code,hotel_name,hotel_category,hotel_category_name,destination_code,destination_name,zone_code,zone_name,hotel_latitude,hotel_longitude,room_code,room_name,rate_key,rate_class,rate_type,price,allotment,payment_type,board_code,board_name,rooms,adults,children,offer_name,offer_amount,cancellation_amount,cancellation_from
Goa,2026-09-15,2026-09-16,133955,Beleza By The Beach,4EST,4 STARS,GOO,Goa,6,South Goa,15.30080500000000000000,73.92185300000001000000,DBL.ST-4,Loft Room – Twin bed With balcony,20260915|20260916|W|270|133955|DBL.ST-4|BAR-BB|BB||1~1~0||P@07~~25c37~432397117~N~~~NOR~~331A7A6B7E87406178773711486505AAUK001100000000102562f,NOR,BOOKABLE,47.86,1,AT_WEB,BB,BED AND BREAKFAST,1,1,0,Exclusive discount,-5.31,47.86,2026-09-11T23:59:00+05:30
Goa,2026-09-15,2026-09-16,133955,Beleza By The Beach,4EST,4 STARS,GOO,Goa,6,South Goa,15.30080500000000000000,73.92185300000001000000,DBL.ST-4,Loft Room – Twin bed With balcony,20260915|20260916|W|270|133955|DBL.ST-4|BAR-BB|BB||1~1~0||N@07~~20d3e~2020261756~N~~~NOR~~331A7A6B7E87406178773711486505AAUK0011000000001021135,NOR,BOOKABLE,53.17,1,AT_WEB,BB,BED AND BREAKFAST,1,1,0,,,53.17,2026-09-11T23:59:00+05:30
Goa,2026-09-15,2026-09-16,133955,Beleza By The Beach,4EST,4 STARS,GOO,Goa,6,South Goa,15.30080500000000000000,73.92185300000001000000,DBL.SU-2,SUPERIOR  ROOM,20260915|20260916|W|270|133955|DBL.SU-2|BAR-BB|BB||1~1~0||P@07~~23440~-1316991973~N~~~NOR~~331A7A6B7E87406178773711486505AAUK0011000000001021637,NOR,BOOKABLE,55.22,56,AT_WEB,BB,BED AND BREAKFAST,1,1,0,Exclusive discount,-6.14,55.22,2026-09-11T23:59:00+05:30
Goa,2026-09-15,2026-09-16,133955,Beleza By The Beach,4EST,4 STARS,GOO,Goa,6,South Goa,15.30080500000000000000,73.92185300000001000000,DBL.SU-2,SUPERIOR  ROOM,20260915|20260916|W|270|133955|DBL.SU-2|BAR-BB|BB||1~1~0||N@07~~24547~-493870134~N~~~NOR~~331A7A6B7E87406178773711486505AAUK001100000000102243d,NOR,BOOKABLE,61.36,56,AT_WEB,BB,BED AND BREAKFAST,1,1,0,,,61.36,2026-09-11T23:59:00+05:30
Goa,2026-09-15,2026-09-16,133955,Beleza By The Beach,4EST,4 STARS,GOO,Goa,6,South Goa,15.30080500000000000000,73.92185300000001000000,DBL.SU-3,SUPERIOR POOL VIEW  ROOM,20260915|20260916|W|270|133955|DBL.SU-3|BAR-BB|BB||1~1~0||P@07~~24c4f~891172520~N~~~NOR~~331A7A6B7E87406178773711486505AAUK0011000000001021b44,NOR,BOOKABLE,68.27,4,AT_WEB,BB,BED AND BREAKFAST,1,1,0,Exclusive discount,-7.59,68.27,2026-09-11T23:59:00+05:30
Goa,2026-09-15,2026-09-16,133955,Beleza By The Beach,4EST,4 STARS,GOO,Goa,6,South Goa,15.30080500000000000000,73.92185300000001000000,DBL.SU-3,SUPERIOR POOL VIEW  ROOM,20260915|20260916|W|270|133955|DBL.SU-3|BAR-BB|BB||1~1~0||N@07~~23e58~1520435384~N~~~NOR~~331A7A6B7E87406178773711486505AAUK001100000000102564b,NOR,BOOKABLE,75.86,4,AT_WEB,BB,BED AND BREAKFAST,1,1,0,,,75.86,2026-09-11T23:59:00+05:30
Goa,2026-09-15,2026-09-16,133955,Beleza By The Beach,4EST,4 STARS,GOO,Goa,6,South Goa,15.30080500000000000000,73.92185300000001000000,DBL.SU-5,SUPERIOR PADDYVIEW ROOM,20260915|20260916|W|270|133955|DBL.SU-5|BAR-BB|BB||1~1~0||P@07~~21152~1675721398~N~~~NOR~~331A7A6B7E87406178773711486505AAUK0011000000001022146,NOR,BOOKABLE,70.33,2,AT_WEB,BB,BED AND BREAKFAST,1,1,0,Exclusive discount,-7.82,70.33,2026-09-11T23:59:00+05:30
Goa,2026-09-15,2026-09-16,133955,Beleza By The Beach,4EST,4 STARS,GOO,Goa,6,South Goa,15.30080500000000000000,73.92185300000001000000,DBL.SU-5,SUPERIOR PADDYVIEW ROOM,20260915|20260916|W|270|133955|DBL.SU-5|BAR-BB|BB||1~1~0||N@07~~21e5b~867739390~N~~~NOR~~331A7A6B7E87406178773711486505AAUK0011000000001020f4e,NOR,BOOKABLE,78.15,2,AT_WEB,BB,BED AND BREAKFAST,1,1,0,,,78.15,2026-09-11T23:59:00+05:30
Goa,2026-09-15,2026-09-16,133955,Beleza By The Beach,4EST,4 STARS,GOO,Goa,6,South Goa,15.30080500000000000000,73.92185300000001000000,SUI.ST-1,TERRACE SUITE ROOM,20260915|20260916|W|270|133955|SUI.ST-1|BAR-BB|BB||1~1~0||P@07~~24460~-100244994~N~~~NOR~~331A7A6B7E87406178773711486505AAUK0011000000001024a52,NOR,BOOKABLE,82.74,4,AT_WEB,BB,BED AND BREAKFAST,1,1,0,Exclusive discount,-9.2,82.74,2026-09-11T23:59:00+05:30
Goa,2026-09-15,2026-09-16,133955,Beleza By The Beach,4EST,4 STARS,GOO,Goa,6,South Goa,15.30080500000000000000,73.92185300000001000000,SUI.ST-1,TERRACE SUITE ROOM,20260915|20260916|W|270|133955|SUI.ST-1|BAR-BB|BB||1~1~0||N@07~~22a6b~708233328~N~~~NOR~~331A7A6B7E87406178773711486505AAUK0011000000001025e5b,NOR,BOOKABLE,91.94,4,AT_WEB,BB,BED AND BREAKFAST,1,1,0,,,91.94,2026-09-11T23:59:00+05:30
